Athlete,College Grade,Name of College,Coll Time,Year,College Conf,College All-Conf,College AA,Olympian,College Division,Event
Isabella King,SR,Wellesley,02:28.1,2018,NEWMAC,0,0,0,D3,800m
Liz Wegman,SO,Wellesley,02:28.4,2018,NEWMAC,0,0,0,D3,800m
Laura Volan,SO,Springfield,02:29.0,2018,NEWMAC,0,0,0,D3,800m
Stephanie Rodriqu,SO,Babson,02:29.6,2018,NEWMAC,0,0,0,D3,800m
Gina Pardi,SO,Wheaton (Mas,02:30.1,2018,NEWMAC,0,0,0,D3,800m
Amanda Lowther,FR,WPI,02:30.5,2018,NEWMAC,0,0,0,D3,800m
Meghan Suslovic,SR,Smith Colleg,02:31.3,2018,NEWMAC,0,0,0,D3,800m
Macayla LaChance,JR,Springfield,02:31.6,2018,NEWMAC,0,0,0,D3,800m
Madison Perry,FR,WPI,02:35.1,2018,NEWMAC,0,0,0,D3,800m
Flora Naylor,FR,Wellesley,02:36.4,2018,NEWMAC,0,0,0,D3,800m
Ava Shipman,FR,Wellesley,02:38.5,2018,NEWMAC,0,0,0,D3,800m
Natasha Kellas,SR,Babson,02:42.1,2018,NEWMAC,0,0,0,D3,800m
Paige Kehoe,SO,Wheaton (Mas,02:45.1,2018,NEWMAC,0,0,0,D3,800m
Gargi Mishra,SR,Mount Holyok,02:46.8,2018,NEWMAC,0,0,0,D3,800m
Jessica Kotfila,SR,Smith Colleg,02:49.8,2018,NEWMAC,0,0,0,D3,800m
Ella Brown,FR,Wheaton (Mas,02:50.0,2018,NEWMAC,0,0,0,D3,800m
Liz Bloch,,Michigan Tech,02:12.8,2018,GLIAC,1,0,0,D2,800m
Rachael Walters,,Grand Valley St.,02:13.9,2018,GLIAC,1,1,0,D2,800m
Shayla Huebner,,Northern Michigan,02:16.4,2018,GLIAC,1,0,0,D2,800m
Kieren Becker,,Northern Michigan,02:15.1,2018,GLIAC,0,0,0,D2,800m
Morgan Fuerst,,Saginaw Valley,02:16.8,2018,GLIAC,0,0,0,D2,800m
Carissa Schurr,,Ferris State,02:17.1,2018,GLIAC,0,0,0,D2,800m
Cassie Schuster,,Grand Valley St.,02:17.4,2018,GLIAC,0,0,0,D2,800m
Carly Burnup,,Grand Valley St.,02:17.8,2018,GLIAC,0,0,0,D2,800m
Jennifer Eaton,,Ferris State,02:18.0,2018,GLIAC,0,0,0,D2,800m
Madisyn Estkowski,,Michigan Tech,02:19.7,2018,GLIAC,0,0,0,D2,800m
Tiffany Pryce,,Ashland,02:19.9,2018,GLIAC,0,0,0,D2,800m
Kelli Weighmink,,Davenport,02:20.7,2018,GLIAC,0,0,0,D2,800m
Jesse Jacobusse,,Michigan Tech,02:21.6,2018,GLIAC,0,0,0,D2,800m
Lauren Wellman,,Saginaw Valley,02:23.9,2018,GLIAC,0,0,0,D2,800m
Hannah Lonergan,,Northern Michigan,02:26.0,2018,GLIAC,0,0,0,D2,800m
Amanda Aquinaga,,Northwood (Mich.),02:27.5,2018,GLIAC,0,0,0,D2,800m
Chloe Liebold,,Tiffin,02:36.0,2018,GLIAC,0,0,0,D2,800m
Alexis Passino,,Lake Superior State,02:37.4,2018,GLIAC,0,0,0,D2,800m
Makayla Wagner,,Ashland,02:40.2,2018,GLIAC,0,0,0,D2,800m
Alyssa Mulford,,Lake Superior State,02:44.5,2018,GLIAC,0,0,0,D2,800m
Jordan Grzegorczyk,,Tiffin,02:49.1,2018,GLIAC,0,0,0,D2,800m
Aaliyah Miller,FR,Baylor,02:02.4,2018,Big 12,1,0,0,D1,800m
Alison Andrews-Paul,FR,Baylor,02:09.9,2018,Big 12,0,0,0,D1,800m
Amanda Dillon,JR,Baylor,02:18.3,2018,Big 12,0,0,0,D1,800m
Danielle Coleman,SR,OK State,02:11.1,2018,Big 12,0,0,0,D1,800m
Elise Moore,SR,Oklahoma,02:16.2,2018,Big 12,0,0,0,D1,800m
Erinn Stenman-Fahey,JR,Iowa State,02:05.8,2018,Big 12,0,0,0,D1,800m
Evelyne Guay,SR,Iowa State,02:15.4,2018,Big 12,0,0,0,D1,800m
Gabby Crank,JR,Texas,02:04.6,2018,Big 12,0,0,0,D1,800m
Hannah Dimmick,SR,Kansas,02:13.5,2018,Big 12,0,0,0,D1,800m
Jasmine Staebler,JR,Iowa State,02:04.5,2018,Big 12,1,0,0,D1,800m
Jenny Celis,SR,OK State,02:09.6,2018,Big 12,0,0,0,D1,800m
Katy Parsons,SO,Baylor,02:17.9,2018,Big 12,0,0,0,D1,800m
Kaylee Dodd,SR,OK State,02:05.3,2018,Big 12,0,0,0,D1,800m
Laurel Hoogensen,FR,Iowa State,02:25.5,2018,Big 12,0,0,0,D1,800m
Leticia De Souza,JR,Baylor,02:07.3,2018,Big 12,0,0,0,D1,800m
Maggie Davis,FR,Iowa State,02:17.7,2018,Big 12,0,0,0,D1,800m
Marleena Eubanks,JR,Kansas,02:04.4,2018,Big 12,1,0,0,D1,800m
Maygen Smith,JR,Texas Tech,02:11.4,2018,Big 12,0,0,0,D1,800m
Megan Rourke,FR,Texas,02:11.1,2018,Big 12,0,0,0,D1,800m
Morgan Stewart,FR,Baylor,02:09.5,2018,Big 12,0,0,0,D1,800m
Nicole Montgomery,JR,Kansas,02:06.2,2018,Big 12,0,0,0,D1,800m
Rebecca Wendt,SR,West Virginia,02:18.3,2018,Big 12,0,0,0,D1,800m
Riley Cooney,JR,Kansas,02:14.5,2018,Big 12,0,0,0,D1,800m
Sinclaire Johnson,SO,OK State,02:04.7,2018,Big 12,0,0,0,D1,800m
Stephanie Ferrante,FR,OK State,02:12.0,2018,Big 12,0,0,0,D1,800m
Sydne Fowler,JR,Texas,02:14.2,2018,Big 12,0,0,0,D1,800m
Alethia Marrero,SR,Arizona State,02:03.1,2018,Pac 12,1,0,0,D1,800m
Ariane Arndt,SO,California,02:10.8,2018,Pac 12,0,0,0,D1,800m
Bianca Tinoco,SO,Arizona State,02:11.7,2018,Pac 12,0,0,0,D1,800m
Caitie Faust,JR,Utah,02:06.7,2018,Pac 12,0,0,0,D1,800m
Cassandra Durgy,SO,UCLA,02:14.2,2018,Pac 12,0,0,0,D1,800m
Elissa Mann,SO,Colorado,02:05.2,2018,Pac 12,0,0,0,D1,800m
Grace Englund,SR,Utah,02:11.7,2018,Pac 12,0,0,0,D1,800m
Gwyneth McMorris,SR,Oregon State,02:19.9,2018,Pac 12,0,0,0,D1,800m
Hannah Derby,JR,Washington,02:12.3,2018,Pac 12,0,0,0,D1,800m
Jacquelyn Hill,FR,UCLA,02:12.0,2018,Pac 12,0,0,0,D1,800m
Julia Heymach,FR,Stanford,02:08.6,2018,Pac 12,0,0,0,D1,800m
Kala Kopecek,SR,Oregon State,02:09.2,2018,Pac 12,0,0,0,D1,800m
Karina Mann,JR,Colorado,02:09.1,2018,Pac 12,0,0,0,D1,800m
Katelin Warren,JR,Arizona,02:11.2,2018,Pac 12,0,0,0,D1,800m
Katherine Haysbert,SR,California,02:11.6,2018,Pac 12,0,0,0,D1,800m
Kim Solberg,JR,Oregon State,02:22.8,2018,Pac 12,0,0,0,D1,800m
Maddi Moore,JR,UCLA,02:16.4,2018,Pac 12,0,0,0,D1,800m
Marlow Schulz,SR,Washington State,02:10.2,2018,Pac 12,0,0,0,D1,800m
Natalie Ackerley,SO,Washington State,02:13.9,2018,Pac 12,0,0,0,D1,800m
Nicole Goecke,JR,Oregon State,02:08.4,2018,Pac 12,0,0,0,D1,800m
Nicole Griffiths,SO,Utah,02:15.3,2018,Pac 12,0,0,0,D1,800m
Nuria Tio Peig,SR,California,02:14.7,2018,Pac 12,0,0,0,D1,800m
Olivia Baker,SR,Stanford,02:03.4,2018,Pac 12,1,1,0,D1,800m
Rebecca Ledsham,FR,Oregon Sta,02:11.7,2018,Pac 12,0,0,0,D1,800m
Sabrina Southerland,SR,Oregon,02:02.2,2018,Pac 12,1,1,0,D1,800m
Sadie Wassum,JR,Utah,02:15.3,2018,Pac 12,0,0,0,D1,800m
Sarah Newton,SO,Utah,02:07.3,2018,Pac 12,0,0,0,D1,800m
Susan Ejore,JR,Oregon,02:05.0,2018,Pac 12,0,0,0,D1,800m
Whitney Hessler,FR,Utah,02:14.0,2018,Pac 12,0,0,0,D1,800m
Zorana Grujic,FR,Washington State,02:08.9,2018,Pac 12,0,0,0,D1,800m
Alicia Thompson,JR,Northern Colorado,02:17.8,2018,Big Sky,0,0,0,D1,800m
Amanda Robbins,FR,North Dakota,02:18.7,2018,Big Sky,0,0,0,D1,800m
Amy Quinones,SO,Sacramento St.,02:17.4,2018,Big Sky,0,0,0,D1,800m
Cammy Sargent,JR,Northern Colorado,02:08.6,2018,Big Sky,1,0,0,D1,800m
Carly Smiedala,SO,Montana,02:07.7,2018,Big Sky,1,0,0,D1,800m
Denise Reis,SR,Sacramento St.,02:14.2,2018,Big Sky,0,0,0,D1,800m
Emily Cheroske,SR,Montana,02:09.4,2018,Big Sky,0,0,0,D1,800m
Erica Eades,SO,North Dakota,02:14.7,2018,Big Sky,0,0,0,D1,800m
Kaleala Bass,JR,Idaho,02:11.0,2018,Big Sky,0,0,0,D1,800m
Kendra Larson,JR,Montana State,02:18.5,2018,Big Sky,0,0,0,D1,800m
Kylie Goo,SR,Northern Arizona,02:19.6,2018,Big Sky,0,0,0,D1,800m
Leanne Asper,SR,Eastern Washington,02:13.6,2018,Big Sky,0,0,0,D1,800m
Lexi Elinkowski,JR,Weber State,02:18.4,2018,Big Sky,0,0,0,D1,800m
Lily Tyrrell,FR,Eastern Washington,02:19.1,2018,Big Sky,0,0,0,D1,800m
Linnea Saltz,SO,Southern Utah,02:14.5,2018,Big Sky,0,0,0,D1,800m
Madeline Hamilton,FR,Montana,02:11.4,2018,Big Sky,0,0,0,D1,800m
Maggie Carruth,JR,Northern Arizona,02:08.6,2018,Big Sky,1,0,0,D1,800m
Meghan Janssen,JR,North Dakota,02:19.4,2018,Big Sky,0,0,0,D1,800m
Michaella Hintze,SR,Weber State,02:10.7,2018,Big Sky,0,0,0,D1,800m
Patricia Carlson,FR,Montana State,02:21.9,2018,Big Sky,0,0,0,D1,800m
Kristoni Barnes,SO,N. Carolina A&T,02:08.0,2018,MEAC,1,0,0,D1,800m
Sydney Benson,SO,Howard,02:10.8,2018,MEAC,0,0,0,D1,800m
Martha Bissah,SO,Norfolk State,02:05.5,2018,MEAC,1,1,0,D1,800m
G'Jasmyne Butler,SO,N. Carolina A&T,02:09.1,2018,MEAC,1,0,0,D1,800m
Eusila Chepkemei,FR,Hampton,02:10.6,2018,MEAC,0,0,0,D1,800m
Imani Coleman,SR,N. Carolina A&T,02:14.7,2018,MEAC,0,0,0,D1,800m
Candice Higgins,JR,Norfolk State,02:11.5,2018,MEAC,0,0,0,D1,800m
Tatyana Hodnett,SR,Bethune-Cookman,02:12.4,2018,MEAC,0,0,0,D1,800m
Destiny Johnson,SR,Florida A&M,02:09.1,2018,MEAC,0,0,0,D1,800m
Valenci McDowell,SO,Morgan State,02:11.4,2018,MEAC,0,0,0,D1,800m
Tatiana Ogundeko,SO,Coppin State,02:18.4,2018,MEAC,0,0,0,D1,800m
Mone't Peterson,FR,Delaware State,02:17.7,2018,MEAC,0,0,0,D1,800m
Neus Quinonero,JR,Maryland-Eas,02:13.0,2018,MEAC,0,0,0,D1,800m
Khadijah Reid,SO,N. Carolina A&T,02:15.9,2018,MEAC,0,0,0,D1,800m
Infinnatie Rowe,FR,Morgan State,02:13.5,2018,MEAC,0,0,0,D1,800m
Chantai Smith,JR,Morgan State,02:35.4,2018,MEAC,0,0,0,D1,800m
Patience Akanwogba,FR,MTSU,02:13.0,2018,Conf USA,0,0,0,D1,800m
Lynette Amaram,SO,UTSA,02:13.8,2018,Conf USA,0,0,0,D1,800m
Hannah Bablak,JR,Rice,02:12.8,2018,Conf USA,0,0,0,D1,800m
Barkley Castro,SR,Marshall,02:14.6,2018,Conf USA,0,0,0,D1,800m
Linda Cheruiyot,SO,UTEP,02:11.6,2018,Conf USA,0,0,0,D1,800m
Abike Egbeniyi,JR,MTSU,02:04.9,2018,Conf USA,1,1,0,D1,800m
Bethan Evans,FR,UAB,02:26.3,2018,Conf USA,0,0,0,D1,800m
Courtney Filliben,SR,Southern Miss.,02:11.1,2018,Conf USA,0,0,0,D1,800m
Carydaliz Fontanez,SR,Florida Atlantic,02:20.8,2018,Conf USA,0,0,0,D1,800m
Colleen Gilbert,JR,UTSA,02:16.0,2018,Conf USA,0,0,0,D1,800m
Megan Giovanniello,FR,Florida Atlantic,02:18.3,2018,Conf USA,0,0,0,D1,800m
Sydne Grier,JR,FIU,02:18.5,2018,Conf USA,0,0,0,D1,800m
Victoria Junious,SR,North Texas,02:14.4,2018,Conf USA,0,0,0,D1,800m
Lilian Koech,JR,UTEP,02:06.2,2018,Conf USA,1,0,0,D1,800m
Andrea Lucero,FR,UTEP,02:21.0,2018,Conf USA,0,0,0,D1,800m
Nicole Mitchell,JR,Rice,02:20.5,2018,Conf USA,0,0,0,D1,800m
Cele Moon,SO,UAB,02:24.1,2018,Conf USA,0,0,0,D1,800m
Baylee NELSON,JR,North Texas,02:11.8,2018,Conf USA,0,0,0,D1,800m
Elia Nero,JR,Louisiana Tech,02:10.1,2018,Conf USA,1,0,0,D1,800m
Aairiona Ransom,FR,Western Kentucky,02:21.1,2018,Conf USA,0,0,0,D1,800m
Stephanie Sauceda,SO,UTSA,02:14.2,2018,Conf USA,0,0,0,D1,800m
Jayela Slack,SO,UTSA,02:19.5,2018,Conf USA,0,0,0,D1,800m
Destiny White,FR,UTEP,02:24.9,2018,Conf USA,0,0,0,D1,800m
Aziza Ayoub,FR,Ohio State,02:08.8,2018,Big 10,0,0,0,D1,800m
Mallory Barrett,FR,Michigan,02:12.4,2018,Big 10,0,0,0,D1,800m
Emma Bresser,FR,Nebraska,02:13.7,2018,Big 10,0,0,0,D1,800m
Frances Bull,SO,Penn State,02:10.4,2018,Big 10,0,0,0,D1,800m
Nicole Choquette,SR,Illinois,02:08.0,2018,Big 10,0,0,0,D1,800m
Courtney Clody,SR,Ohio State,02:06.4,2018,Big 10,0,0,0,D1,800m
Myia Dorsey,SO,Purdue,02:15.4,2018,Big 10,0,0,0,D1,800m
Kelsey Harris,SO,Indiana,02:05.6,2018,Big 10,1,0,0,D1,800m
Kyelah Hodges,JR,Purdue,02:18.5,2018,Big 10,0,0,0,D1,800m
Carola Janshon,FR,Michigan,02:11.4,2018,Big 10,0,0,0,D1,800m
Kaitlynn Johnson,FR,Nebraska,02:14.8,2018,Big 10,0,0,0,D1,800m
Mallory King,SO,Iowa,02:08.4,2018,Big 10,0,0,0,D1,800m
Val Larson,FR,Minnesota,02:09.2,2018,Big 10,0,0,0,D1,800m
Samara Miller,SO,Purdue,02:12.4,2018,Big 10,0,0,0,D1,800m
Jamie Morrissey,SR,Michigan,02:05.3,2018,Big 10,1,0,0,D1,800m
Mallory Mulzer,FR,Indiana,02:08.2,2018,Big 10,0,0,0,D1,800m
Paige Peschel,JR,Minnesota,02:09.9,2018,Big 10,0,0,0,D1,800m
Jaimie Phelan,SR,Michigan,02:09.2,2018,Big 10,0,0,0,D1,800m
Joely Pinkston,FR,Indiana,02:07.3,2018,Big 10,0,0,0,D1,800m
Danae Rivers,SO,Penn State,02:07.1,2018,Big 10,0,0,0,D1,800m
Tia Saunders,SO,Iowa,02:11.1,2018,Big 10,0,0,0,D1,800m
Jessi Smith,SO,Nebraska,02:13.5,2018,Big 10,0,0,0,D1,800m
Olivia Smith,SR,Ohio State,02:10.5,2018,Big 10,0,0,0,D1,800m
Victoria Tachinski,FR,Penn State,02:12.6,2018,Big 10,0,0,0,D1,800m
Grace Trucilla,JR,Penn State,02:16.7,2018,Big 10,0,0,0,D1,800m
Annie Ubbing,SO,Ohio State,02:11.2,2018,Big 10,0,0,0,D1,800m
Kendell Wiles,SR,Indiana,02:05.8,2018,Big 10,1,0,0,D1,800m
Olivia Arizin,FR,Georgetown,02:11.0,2018,Big East,0,0,0,D1,800m
Siofra Cleirigh Buttner,SR,Villanova,02:05.5,2018,Big East,1,1,0,D1,800m
Lizzie DeJoie,FR,DePaul,02:14.4,2018,Big East,0,0,0,D1,800m
Rebecca Del Rossi,SR,Villanova,02:18.1,2018,Big East,0,0,0,D1,800m
Piper Donaghu,SR,Georgetown,02:09.8,2018,Big East,0,0,0,D1,800m
Elizabeth Endy,SR,DePaul,02:10.3,2018,Big East,0,0,0,D1,800m
Abby Fioresi,FR,Xavier,02:15.5,2018,Big East,0,0,0,D1,800m
Amy Gasperlin,SO,Marquette,02:15.2,2018,Big East,0,0,0,D1,800m
Kate Gobi,SO,Georgetown,02:18.9,2018,Big East,0,0,0,D1,800m
Dana Lowney,FR,Providence,02:20.0,2018,Big East,0,0,0,D1,800m
Kelsey Margey,SR,Villanova,02:07.4,2018,Big East,1,0,0,D1,800m
Rachel McArthur,FR,Villanova,02:10.1,2018,Big East,1,0,0,D1,800m
Kelly Mindak,FR,Butler,02:16.0,2018,Big East,0,0,0,D1,800m
Emma Moravec,FR,Marquette,02:12.5,2018,Big East,0,0,0,D1,800m
Amari Onque-Shabazz,SO,Villanova,02:12.0,2018,Big East,0,0,0,D1,800m
Shannon Page,JR,St. John's,02:17.1,2018,Big East,0,0,0,D1,800m
Alison Parker,SR,Marquette,02:12.1,2018,Big East,0,0,0,D1,800m
Tiffany Perrier,SR,St. John's,02:31.1,2018,Big East,0,0,0,D1,800m
Leah Rivers,FR,St. John's,02:24.3,2018,Big East,0,0,0,D1,800m
Nicole Adams,,Tennessee,02:11.6,2018,SEC,0,0,0,D1,800m
Reagan Anderson,,Vanderbilt,02:27.3,2018,SEC,0,0,0,D1,800m
Sierra Biber,,South Caroli,02:25.9,2018,SEC,0,0,0,D1,800m
Charlotte Cayton-Smith,,Miss State,02:12.4,2018,SEC,0,0,0,D1,800m
Courtney Clayton,,Vanderbilt,02:07.2,2018,SEC,0,0,0,D1,800m
Ersula Farrow,,LSU,02:06.2,2018,SEC,0,0,0,D1,800m
Jazmine Fray,,Texas A&M,02:03.6,2018,SEC,1,0,0,D1,800m
Valeska Halamicek,,Missouri,02:08.7,2018,SEC,0,0,0,D1,800m
Abbie Harrelson,,Florida,02:12.8,2018,SEC,0,0,0,D1,800m
Jean Jenkins,,Texas A&M,02:09.1,2018,SEC,0,0,0,D1,800m
Askana Lawrence,,LSU,02:18.1,2018,SEC,0,0,0,D1,800m
Alon Lewis,,Miss State,02:08.0,2018,SEC,0,0,0,D1,800m
Karina Liz,,Missouri,02:11.0,2018,SEC,0,0,0,D1,800m
Halle McClintock,,Georgia,02:13.2,2018,SEC,0,0,0,D1,800m
Maddie McHugh,,Ole Miss,02:05.5,2018,SEC,1,0,0,D1,800m
Brittany Parker,,Texas A&M,02:07.6,2018,SEC,0,0,0,D1,800m
Kailee Sawyer,,Arkansas,02:12.4,2018,SEC,0,0,0,D1,800m
Faramola Shonekan,,Missouri,02:20.5,2018,SEC,0,0,0,D1,800m
Amber Tanner,,Georgia,02:09.8,2018,SEC,0,0,0,D1,800m
Madison Tippet,,Tennessee,02:22.5,2018,SEC,0,0,0,D1,800m
Sammy Watson,,Texas A&M,02:03.4,2018,SEC,1,1,0,D1,800m
Presley Weems,,Auburn,02:11.6,2018,SEC,0,0,0,D1,800m
Layla Almasri,,Uc-Colo. Spgs.,02:18.3,2018,Rocky Mtn,0,0,0,D2,800m
Nicole Bouma,,Csu-Pueblo,02:21.4,2018,Rocky Mtn,0,0,0,D2,800m
Kara Burton,,Colorado Mines,02:28.8,2018,Rocky Mtn,0,0,0,D2,800m
Sarah Chacon,,Fort Lewis,02:24.3,2018,Rocky Mtn,0,0,0,D2,800m
Jessica Cusick,,Western State,02:22.0,2018,Rocky Mtn,0,0,0,D2,800m
Brook Eberle,,Colorado Mines,02:24.9,2018,Rocky Mtn,0,0,0,D2,800m
Ellinor Enderle,,Uc-Colo. Spgs.,02:14.2,2018,Rocky Mtn,1,0,0,D2,800m
Roisin Flanagan,,Adams State,02:09.4,2018,Rocky Mtn,1,0,0,D2,800m
Abbie Fredrick,,Black Hills St.,02:17.5,2018,Rocky Mtn,0,0,0,D2,800m
Jessica Horii,,Colorado Mines,02:22.9,2018,Rocky Mtn,0,0,0,D2,800m
Aneta Konieczek,,Western State,02:12.5,2018,Rocky Mtn,1,0,0,D2,800m
Jessica Kresl,,Western State,02:22.7,2018,Rocky Mtn,0,0,0,D2,800m
Glindyll Mancia,,Western State,02:19.6,2018,Rocky Mtn,0,0,0,D2,800m
Abby Oglesby,,Colorado Mesa,02:23.8,2018,Rocky Mtn,0,0,0,D2,800m
Sabrina Rautter,,Metro State,02:25.2,2018,Rocky Mtn,0,0,0,D2,800m
Molly Reicher,,Colorado Mines,02:15.8,2018,Rocky Mtn,0,0,0,D2,800m
Cailey Roth,,Black Hills St.,02:17.8,2018,Rocky Mtn,0,0,0,D2,800m
Saylor Sargent,,Fort Lewis,02:26.6,2018,Rocky Mtn,0,0,0,D2,800m
Katie Scott,,Westminster (Utah),02:20.4,2018,Rocky Mtn,0,0,0,D2,800m
Molly Weir,,Uc-Colo. Spgs.,02:18.6,2018,Rocky Mtn,0,0,0,D2,800m
Ryan Weiss,,South Dakota Mines,02:22.4,2018,Rocky Mtn,0,0,0,D2,800m
Emma Willadsen,,Chadron State,02:22.5,2018,Rocky Mtn,0,0,0,D2,800m
Kayla Wooten,,Uc-Colo. Spgs.,02:17.3,2018,Rocky Mtn,0,0,0,D2,800m
Skylyn Webb,,Uc-Colo. Spgs.,02:02.0,2018,Rocky Mtn,0,1,0,D2,800m
