Athlete,Time,School,Course,Year
Lauren Kiley,18:10.8,Plymouth,Huron Meadows,2019
Londyn Swenson,18:34.3,Plymouth,Huron Meadows,2019
Yasmine Mansi,18:55.5,Northville,Huron Meadows,2019
Emily Gordon,18:59.4,Northville,Huron Meadows,2019
Keira Courtney,19:19.4,Northville,Huron Meadows,2019
Onivas Tupa,19:43.7,Northville,Huron Meadows,2019
Gina Couyoumjian,19:47.8,Northville,Huron Meadows,2019
Jennie Line,19:52.5,Northville,Huron Meadows,2019
Paige Cristea,20:04.9,Plymouth,Huron Meadows,2019
Lindsay Ripple,20:07.6,Plymouth,Huron Meadows,2019
Janie DeGroot,20:27.8,Northville,Huron Meadows,2019
Sasha Fox,20:32.1,Plymouth,Huron Meadows,2019
Erin Trombly,20:32.6,Plymouth,Huron Meadows,2019
Lily Tiplady,21:33.2,Plymouth,Huron Meadows,2019
Lauren Kiley,19:00,Plymouth,Cass Benton,2019
Yasmine Mansi,19:18,Northville,Cass Benton,2019
Emily Gordon,19:32,Northville,Cass Benton,2019
Londyn Swenson,19:58,Plymouth,Cass Benton,2019
Onivas Tupa,20:16,Northville,Cass Benton,2019
Keira Courtney,20:38,Northville,Cass Benton,2019
Lindsay Ripple,21:05,Plymouth,Cass Benton,2019
Emma Munro,21:09,Northville,Cass Benton,2019
Olivia Masse,21:19,Northville,Cass Benton,2019
Sasha Fox,21:29,Plymouth,Cass Benton,2019
Paige Cristea,21:43,Plymouth,Cass Benton,2019
Mariella Ma,21:45,Plymouth,Cass Benton,2019
Elise Jund,21:48,Northville,Cass Benton,2019
Janie DeGroot,22:09,Northville,Cass Benton,2019
Laura Bonds,22:33,Plymouth,Cass Benton,2019
Moriah Ma,22:48,Plymouth,Cass Benton,2019
Brooklyn Stack,22:56,Northville,Cass Benton,2019
Lindsay Afsari,23:03,Northville,Cass Benton,2019
Caroline Gillingham,23:04,Northville,Cass Benton,2019
Samantha Rivera,23:06,Northville,Cass Benton,2019
Lily Tiplady,23:13,Plymouth,Cass Benton,2019
Jasmine Beltrame,23:29,Northville,Cass Benton,2019
Alicia Qin,23:35,Plymouth,Cass Benton,2019
Natalie Havristiuc,23:38,Northville,Cass Benton,2019
Adriana Courtney,23:53,Northville,Cass Benton,2019
Sarah Coyne,24:07:00,Plymouth,Cass Benton,2019
Maddie Bagnasco,24:09:00,Plymouth,Cass Benton,2019
Mary Nikitas,24:20:00,Northville,Cass Benton,2019
Isabelle Tiplady,24:22:00,Plymouth,Cass Benton,2019
Sophie Mahnken,24:25:00,Plymouth,Cass Benton,2019
Maura May,24:28:00,Plymouth,Cass Benton,2019
Madilyn Smith,24:31:00,Plymouth,Cass Benton,2019
April Horn,24:34:00,Plymouth,Cass Benton,2019
Anja Olsen,24:38:00,Northville,Cass Benton,2019
Nayna Chhabria,25:10:00,Northville,Cass Benton,2019
Ella Horn,25:14:00,Plymouth,Cass Benton,2019
I'anah Harris,25:25:00,Plymouth,Cass Benton,2019
Katie Glovatsky,25:37:00,Plymouth,Cass Benton,2019
Rachel Mickey,25:39:00,Plymouth,Cass Benton,2019
Abby Ludtke,25:45:00,Northville,Cass Benton,2019
Samantha Foster,25:51:00,Plymouth,Cass Benton,2019
Tara Morren,26:11:00,Plymouth,Cass Benton,2019
Elise Merkel,26:15:00,Plymouth,Cass Benton,2019
Olivia Mangion,26:23:00,Plymouth,Cass Benton,2019
Cate Whelan,27:22:00,Plymouth,Cass Benton,2019
Lily Samulski,27:25:00,Plymouth,Cass Benton,2019
Trinity Almaraj,27:30:00,Plymouth,Cass Benton,2019
Lynnae Fisher,27:31:00,Plymouth,Cass Benton,2019
Julia Merritt,28:26:00,Northville,Cass Benton,2019
Kimberly Westra,28:43:00,Plymouth,Cass Benton,2019
Rachel Forsyth,18:26.8,Ann Arbor Pioneer,Hudson Mills,2020
Cookie Baugh,18:27.0,Ann Arbor Pioneer,Hudson Mills,2020
Kaitlin Knape,19:24.6,Tecumseh,Hudson Mills,2020
Sylvia Sanok Dufallo,20:09.8,Ann Arbor Pioneer,Hudson Mills,2020
Emily Cooper,20:18.6,Ann Arbor Pioneer,Hudson Mills,2020
Anna Dudek,20:27.8,Ann Arbor Pioneer,Hudson Mills,2020
Charlotte Batra,20:35.8,Ann Arbor Pioneer,Hudson Mills,2020
Kaylee Pesta,21:40.5,Tecumseh,Hudson Mills,2020
Allison Nutt,21:42.7,Ann Arbor Pioneer,Hudson Mills,2020
Lauren Jamsen,21:49.9,Ann Arbor Pioneer,Hudson Mills,2020
Mia Berens,22:26.1,Ann Arbor Pioneer,Hudson Mills,2020
Genna Novara,22:31.3,Ann Arbor Pioneer,Hudson Mills,2020
Lydia Bowman,22:32.6,Ann Arbor Pioneer,Hudson Mills,2020
Kelsey Knape,22:33.9,Tecumseh,Hudson Mills,2020
Eleanor Vogel,22:35.5,Ann Arbor Pioneer,Hudson Mills,2020
Emily Stevenson,22:54.8,Tecumseh,Hudson Mills,2020
Sydney Whittemore,22:58.8,Tecumseh,Hudson Mills,2020
Gabby Stintzi,23:04.9,Tecumseh,Hudson Mills,2020
Naomi Kaczor,23:18.0,Ann Arbor Pioneer,Hudson Mills,2020
Mara Krupka,23:19.6,Ann Arbor Pioneer,Hudson Mills,2020
Laura Simon,24:15.0,Ann Arbor Pioneer,Hudson Mills,2020
Hannah Spohn,24:18.4,Tecumseh,Hudson Mills,2020
Elle Nowak,24:25.8,Tecumseh,Hudson Mills,2020
Margriet Poppens,24:32.2,Ann Arbor Pioneer,Hudson Mills,2020
Grace Jackel,24:38.6,Ann Arbor Pioneer,Hudson Mills,2020
Melanie Valtadoros,24:55.2,Ann Arbor Pioneer,Hudson Mills,2020
Regina Madziar,25:01.3,Tecumseh,Hudson Mills,2020
Anneliese Jones,25:03.7,Ann Arbor Pioneer,Hudson Mills,2020
Claire Stanko,25:04.4,Ann Arbor Pioneer,Hudson Mills,2020
Madeline Hood,25:13.5,Ann Arbor Pioneer,Hudson Mills,2020
Veronica Weinberg,25:48.6,Ann Arbor Pioneer,Hudson Mills,2020
Elena Bowman,26:36.2,Ann Arbor Pioneer,Hudson Mills,2020
Margaret Donoghue,27:01.9,Ann Arbor Pioneer,Hudson Mills,2020
Sarah McCreadie,27:02.0,Ann Arbor Pioneer,Hudson Mills,2020
Rylee Bryan,27:03.5,Tecumseh,Hudson Mills,2020
Jasmin Al-Hawary,27:06.9,Ann Arbor Pioneer,Hudson Mills,2020
Megan Bell,27:25.8,Ann Arbor Pioneer,Hudson Mills,2020
Sylva Das,27:33.2,Ann Arbor Pioneer,Hudson Mills,2020
Miriam Rick,27:33.8,Tecumseh,Hudson Mills,2020
Chloe Decker,28:48.8,Tecumseh,Hudson Mills,2020
Katie Carothers,20:32.9,Brighton,Hudson Mills,2020
Carrigan Eberly,20:36.9,Brighton,Hudson Mills,2020
Karly Lynch,20:51.1,Brighton,Hudson Mills,2020
Amanda Simon,21:03.5,Brighton,Hudson Mills,2020
Morgan Crompton,21:03.8,Brighton,Hudson Mills,2020
Ellie Stark,21:18.5,Brighton,Hudson Mills,2020
Amelia Kashian,21:22.9,Brighton,Hudson Mills,2020
Hannah Tsiang,21:41.1,Brighton,Hudson Mills,2020
Andrea Repyak,22:29.4,Brighton,Hudson Mills,2020
Caleigh Hurley,23:01.9,Brighton,Hudson Mills,2020
Heather Woodward,24:20.3,Brighton,Hudson Mills,2020
Trilian Krug,20:22.0,Chelsea,Hudson Mills,2020
Natalie Davies,20:33.5,Chelsea,Hudson Mills,2020
Rachel Bullock,20:50.0,Chelsea,Hudson Mills,2020
Seren Angus,21:09.1,Chelsea,Hudson Mills,2020
Audra Guthre,21:16.5,Chelsea,Hudson Mills,2020
Kate Gaiser,21:44.4,Chelsea,Hudson Mills,2020
Riley Thorburn,22:10.7,Chelsea,Hudson Mills,2020
Sarah Kennings,22:25.8,Chelsea,Hudson Mills,2020
Julia Kause,22:50.0,Chelsea,Hudson Mills,2020
Marah Putnam,23:16.5,Chelsea,Hudson Mills,2020
Jennie Line,18:49.3,Northville,Hudson Mills,2020
Lydia Alig,19:50.6,Saline,Hudson Mills,2020
Madison Stern,20:01.8,Saline,Hudson Mills,2020
Madi Wood,20:13.5,Saline,Hudson Mills,2020
Ella Christensen,20:42.5,Northville,Hudson Mills,2020
Janie DeGroot,20:42.8,Northville,Hudson Mills,2020
Claire Endres,20:42.9,Saline,Hudson Mills,2020
Aubrey Stager,20:51.8,Saline,Hudson Mills,2020
Laney Alig,20:54.7,Saline,Hudson Mills,2020
Gina Couyoumjian,21:00.4,Northville,Hudson Mills,2020
Elise Jund,21:17.8,Northville,Hudson Mills,2020
Keira Courtney,21:32.7,Northville,Hudson Mills,2020
Ava Ignacio,21:34.4,Saline,Hudson Mills,2020
Lucy Woehlke,21:45.6,Saline,Hudson Mills,2020
Lily Connors,21:53.4,Northville,Hudson Mills,2020
Natalie Havristiuc,21:56.6,Northville,Hudson Mills,2020
Emily Gordon,22:05.2,Northville,Hudson Mills,2020
Mary Nikitas,22:05.9,Northville,Hudson Mills,2020
Anna Gdowski,22:27.7,Northville,Hudson Mills,2020
Amanda Lin,22:30.5,Saline,Hudson Mills,2020
Ericka VanderLende,17:33.1,Rockford,Portage,2018
Yasmine Mansi,18:18.7,Northville,Portage,2018
Gabby Hentemann,18:26.3,Grand Haven,Portage,2018
Sarah Forsyth,18:37.4,Ann Arbor Pioneer,Portage,2018
Noelle Adriaens,18:38.6,Pinckney,Portage,2018
Nicole Cybul,18:44.1,Northville,Portage,2018
Ashlyn Nagel,18:48.2,Bay City Western,Portage,2018
Peyton Witt,18:55.4,Portage Northern,Portage,2018
Anna Vogel,18:58.2,Ann Arbor Pioneer,Portage,2018
Samantha Tran,19:02.5,FHN GR_Forest Hills Northern,Portage,2018
Vivi Eddings,19:02.9,Pinckney,Portage,2018
Julia Flynn,19:05.6,Traverse City Central,Portage,2018
Leah Socks,19:06.6,Traverse City Central,Portage,2018
Emma Everhart Deckard,19:08.0,Rockford,Portage,2018
Annie Allen,19:10.0,St Joseph Academy,Portage,2018
Hannah Smith,19:12.2,Traverse City West,Portage,2018
Kayla Fortino,19:15.8,Saline,Portage,2018
Sydney Nesbitt,19:19.6,Bay City Western,Portage,2018
Shayna Altvater,19:20.3,Holland,Portage,2018
Lindsey Peters,19:22.4,Caledonia,Portage,2018
Emma Woltjer,19:25.8,Caledonia,Portage,2018
Madi Wood,19:31.1,Saline,Portage,2018
Courtney Jarema,19:33.9,Pinckney,Portage,2018
Jenna Picard,19:35.2,Bay City Western,Portage,2018
Avery McLean,19:40.1,Traverse City Central,Portage,2018
Elliott Smith,19:43.4,Traverse City West,Portage,2018
Emily Gordon,19:45.6,Northville,Portage,2018
Abby Buitenhuis,19:46.6,Grand Haven,Portage,2018
Nicole Dillmann,19:47.9,Saline,Portage,2018
Marin Stevens,19:48.6,Bay City Western,Portage,2018
Laura O'Brien,19:49.1,Ann Arbor Skyline,Portage,2018
Avery Zeinstra,19:54.6,Byron Center,Portage,2018
Catherine Coffey,19:55.4,Chagrin Falls,Portage,2018
Kiera Snyder,19:57.1,Port Huron Northern,Portage,2018
Nicole Marco,19:57.5,FHC GR_Forest Hills Central,Portage,2018
Kayla Eklund,19:57.8,Richland Gull Lake,Portage,2018
Whitney Currie,19:59.8,FHC GR_Forest Hills Central,Portage,2018
Abby Hunter,20:04.6,Traverse City West,Portage,2018
Gina Couyoumjian,20:07.7,Northville,Portage,2018
Elise Gray,20:12.5,Hudsonville,Portage,2018
Lexie Allshouse,20:12.8,Rockford,Portage,2018
Mallory Dawes,20:17.3,Ann Arbor Pioneer,Portage,2018
Sarah Nondorf,20:17.5,Mattawan,Portage,2018
Jordyn Elders,20:18.1,Holland,Portage,2018
Amanda Keim,20:19.3,St Joseph Academy,Portage,2018
Ellie Voetberg,20:22.2,Portage Central,Portage,2018
Bailey Ewen,20:23.0,Rockford,Portage,2018
Alison Hankins,20:24.0,Traverse City Central,Portage,2018
Emma Munro,20:26.8,Northville,Portage,2018
Madylin McLean,20:29.4,Traverse City Central,Portage,2018
Keira Courtney,20:30.4,Northville,Portage,2018
Taylor Visscher,20:30.5,Caledonia,Portage,2018
Barbara DeGood,20:31.3,Caledonia,Portage,2018
Addison Swanson,20:32.6,Traverse City Central,Portage,2018
Ella Woehlke,20:35.6,Saline,Portage,2018
Sarah Lyon,20:37.8,Battle Creek Lakeview,Portage,2018
Danica Hruby,20:41.0,St Joseph Academy,Portage,2018
Morgan Lyon,20:41.1,Traverse City West,Portage,2018
Olivia Kapenga,20:41.6,Portage Northern,Portage,2018
Madison Cook,20:41.7,Hudsonville,Portage,2018
Hannah Clark,20:42.7,Chagrin Falls,Portage,2018
Karissa Picard,20:44.9,Bay City Western,Portage,2018
Kate Hindman,20:47.8,Mattawan,Portage,2018
Erin Vimr,20:48.9,Hartland,Portage,2018
Catrin Koselka,20:49.3,Ann Arbor Skyline,Portage,2018
Isabella Schmenk,20:50.2,Hartland,Portage,2018
Isabelle Hawkes,20:51.8,Kalamazoo Central,Portage,2018
Katarina Lechman,20:52.5,Chagrin Falls,Portage,2018
Alayna Babcock,20:53.0,East Kentwood,Portage,2018
Nyla Griffin,20:53.1,Pinckney,Portage,2018
Taylor Yaklich,20:53.2,Saline,Portage,2018
Charlotte Batra,20:54.5,Ann Arbor Pioneer,Portage,2018
Kathleen Hummer,20:56.1,Byron Center,Portage,2018
Carly Postma,20:57.3,Caledonia,Portage,2018
Susannah Bennett,20:59.0,FHC GR_Forest Hills Central,Portage,2018
Kelsie McManus,21:00.4,Grand Haven,Portage,2018
Jenna Kral,21:01.4,Hudsonville,Portage,2018
Claire Ackerman,21:02.1,Traverse City West,Portage,2018
Sidney Carrigan,21:03.5,Traverse City Central,Portage,2018
Jenna Ray,21:04.3,Grand Haven,Portage,2018
Grace Kelley,21:04.6,St Joseph Academy,Portage,2018
Maggie Zimmermann,21:04.7,Hartland,Portage,2018
Joy Hart,21:05.0,Kalamazoo Loy Norrix,Portage,2018
Madison Stern,21:07.6,Saline,Portage,2018
Cassidy Jankens,21:10.1,Bay City Western,Portage,2018
Azzurra Opperman,21:10.8,Chagrin Falls,Portage,2018
Makenzie Wank,21:11.1,Richland Gull Lake,Portage,2018
Talia Wilder,21:14.4,Caledonia,Portage,2018
Audrey Braund,21:14.6,Traverse City West,Portage,2018
Haniya Frayer,21:14.8,Kalamazoo Loy Norrix,Portage,2018
Kara Crofoot,21:15.8,Traverse City West,Portage,2018
Marie Musser,21:19.8,St Joseph Academy,Portage,2018
Courtney Hughes,21:20.4,Grand Ledge,Portage,2018
Anna Haseley,21:21.8,Hudsonville,Portage,2018
Julia Kooyer,21:22.8,Holland,Portage,2018
Sydney Tran,21:23.5,FHN GR_Forest Hills Northern,Portage,2018
Eden Traub,21:24.2,Grand Haven,Portage,2018
Sarah Grimes,21:25.0,Richland Gull Lake,Portage,2018
Bridget Chambers,21:25.2,St Joseph Academy,Portage,2018
Sunniva Bakke,21:27.1,Ann Arbor Skyline,Portage,2018
Olivia Harp,21:27.7,Northville,Portage,2018
Ariana Bruininks,21:29.3,Portage Central,Portage,2018
Emma Hvizdos,21:30.0,St Joseph Academy,Portage,2018
Ashley Witham,21:30.3,Grand Ledge,Portage,2018
Chloe Zeien,21:31.6,FHC GR_Forest Hills Central,Portage,2018
Blake Mueller,21:31.7,Bay City Western,Portage,2018
Abigail Bell,21:33.1,Richland Gull Lake,Portage,2018
Elizabeth Bennett,21:34.2,Rockford,Portage,2018
Rebekah Reisterer,21:35.6,Portage Northern,Portage,2018
Aliza Garcia,21:37.6,Portage Northern,Portage,2018
Mackenzie Allan,21:38.0,Hartland,Portage,2018
Riley Thompson,21:39.2,Rockford,Portage,2018
Perla Reyes,21:41.7,Battle Creek Lakeview,Portage,2018
Gabbi Taylor,21:45.4,FHN GR_Forest Hills Northern,Portage,2018
Emma Cummings,21:46.1,Saline,Portage,2018
Sydney Caddell,21:48.2,Hartland,Portage,2018
Eliza Phares,21:48.9,Portage Central,Portage,2018
Annie Knee,21:49.0,FHN GR_Forest Hills Northern,Portage,2018
Abby Marry,21:49.4,Hartland,Portage,2018
Megan Schafer,21:50.3,Grand Ledge,Portage,2018
Madeleine Wisniewski,21:51.0,Hartland,Portage,2018
Maggie Schmidt,21:52.5,Ann Arbor Skyline,Portage,2018
Emily Gray,21:53.2,Grandville,Portage,2018
Ella Ryan,21:54.4,Ann Arbor Pioneer,Portage,2018
Alex Amores,21:54.6,Grand Haven,Portage,2018
Anna Dood,21:54.8,FHN GR_Forest Hills Northern,Portage,2018
Caitlyn Donnelly,22:00.0,Ann Arbor Skyline,Portage,2018
Carly Maynard,22:05.3,Rockford,Portage,2018
Olivia Brodie,22:07.1,Portage Central,Portage,2018
Miette Smith,22:08.0,Portage Northern,Portage,2018
McKenna Hinkle,22:13.3,Byron Center,Portage,2018
Olivia DeGraaf,22:14.9,Holland,Portage,2018
Grace Hoekema,22:16.6,Grandville,Portage,2018
Annaliese Bol,22:18.5,Kalamazoo Loy Norrix,Portage,2018
Mieke Hart,22:19.5,Muskegon Mona Shores,Portage,2018
Tajanae Allison,22:20.3,Kalamazoo Central,Portage,2018
Grace Fletter,22:20.5,FHN GR_Forest Hills Northern,Portage,2018
Gabi Reitenour,22:20.7,Mattawan,Portage,2018
Aubree Daugherty,22:21.4,Chagrin Falls,Portage,2018
McKinney DeJong,22:21.7,Byron Center,Portage,2018
Katrina Beardsley,22:22.6,Ann Arbor Pioneer,Portage,2018
Arielle Melong,22:23.2,Ann Arbor Skyline,Portage,2018
Ella Baryo,22:24.8,Grand Ledge,Portage,2018
Reagan Voetberg,22:27.0,Portage Central,Portage,2018
Emma Pilnick,22:30.9,Portage Northern,Portage,2018
Grace Platz,22:31.1,Grand Haven,Portage,2018
Tatum Verburg,22:31.8,Caledonia,Portage,2018
Kayley Porter,22:32.3,FHN GR_Forest Hills Northern,Portage,2018
Olivia Johnson,22:33.0,Grand Ledge,Portage,2018
Grace Campbell,22:37.5,Portage Central,Portage,2018
Grace Foster,22:41.3,Richland Gull Lake,Portage,2018
Vivian Matusko,22:41.6,Ann Arbor Skyline,Portage,2018
Avery Truex,22:42.7,Battle Creek Lakeview,Portage,2018
Fatima Cruz,22:47.1,Battle Creek Lakeview,Portage,2018
Maddy Wolf,22:51.9,Grandville,Portage,2018
Natalie DeGraaf,22:52.0,Holland,Portage,2018
Lydia Girard,22:52.7,Pinckney,Portage,2018
Katie Rogers,22:54.9,Battle Creek Lakeview,Portage,2018
Addison Kiteley,22:59.5,Port Huron Northern,Portage,2018
Sammi Poliak,22:59.9,Portage Central,Portage,2018
Kelsey Kehren,23:04.5,Grand Ledge,Portage,2018
Morgan Brossia,23:04.9,Monroe,Portage,2018
Haleigh Nower,23:06.1,Kalamazoo Central,Portage,2018
Zenaida Sackett,23:08.6,Kalamazoo Central,Portage,2018
Sara Elfring,23:10.4,Kalamazoo Loy Norrix,Portage,2018
Jenna Brewer,23:11.3,Grandville,Portage,2018
Hannah Wordhouse,23:13.6,FHC GR_Forest Hills Central,Portage,2018
Rachel Grimes,23:16.2,Richland Gull Lake,Portage,2018
Rachel Marco,23:18.1,FHC GR_Forest Hills Central,Portage,2018
Lauren O'Hern,23:21.1,Portage Northern,Portage,2018
Avery Roussey,23:22.3,Byron Center,Portage,2018
Sophia Hopkins,23:22.8,Grandville,Portage,2018
McKenna Evans,23:23.2,Battle Creek Lakeview,Portage,2018
Libby McComas,23:24.9,East Kentwood,Portage,2018
Bridgette Dudley,23:36.9,Monroe,Portage,2018
Hailey Kempf,23:37.5,Grandville,Portage,2018
Ainsley Vanderlaan,23:37.5,Grand Ledge,Portage,2018
Kendra Wolffis,23:39.5,FHC GR_Forest Hills Central,Portage,2018
Julia Weller,23:40.1,Kalamazoo Central,Portage,2018
Claire Johnson,23:41.5,Mattawan,Portage,2018
Marisa VanderMolen,23:42.2,Muskegon Mona Shores,Portage,2018
Brisa Hernandez,23:44.2,Battle Creek Lakeview,Portage,2018
Ashley Keltsch,23:44.2,Kalamazoo Loy Norrix,Portage,2018
Claire Coffey,23:48.3,Chagrin Falls,Portage,2018
Jayne Flynn,23:49.1,Richland Gull Lake,Portage,2018
Lauren Kaus,23:50.3,Pinckney,Portage,2018
Claire Lordan,23:55.1,Chagrin Falls,Portage,2018
Sophie Ensing,24:01.1,Byron Center,Portage,2018
Summer Biesiada,24:02.5,Muskegon Mona Shores,Portage,2018
Cassie Stersic,24:09.2,Byron Center,Portage,2018
Ellen Wilson,24:12.1,Mattawan,Portage,2018
Ella Foshag,24:13.1,Monroe,Portage,2018
Brooke Lewis,24:22.0,Mattawan,Portage,2018
Lillian Daniels,24:24.2,Kalamazoo Loy Norrix,Portage,2018
Georgia Hill,24:26.1,Kalamazoo Loy Norrix,Portage,2018
Mykah Bea,24:27.7,East Kentwood,Portage,2018
Chloe Gunter,24:34.1,Monroe,Portage,2018
Emily Kwekel,25:04.1,East Kentwood,Portage,2018
Jane Moore,25:04.5,East Kentwood,Portage,2018
Joanne Padron,25:08.6,Holland,Portage,2018
Ashley Rathbun,25:16.4,Monroe,Portage,2018
Hailey Winkelman,25:20.7,Monroe,Portage,2018
Kate Seaton,25:54.2,East Kentwood,Portage,2018
Liddie Basch,25:55.9,Mattawan,Portage,2018
Kayla Palmerton,26:03.8,Holland,Portage,2018
Quinn Fowler,26:15.2,Monroe,Portage,2018
Rose Prendergast,26:20.4,Kalamazoo Central,Portage,2018
Michelle Dam,26:37.1,East Kentwood,Portage,2018
Yanari Raines,26:45.5,Kalamazoo Central,Portage,2018
Kaylin Meyers,26:56.6,Muskegon Mona Shores,Portage,2018
Elayna Madl,27:37.7,Muskegon Mona Shores,Portage,2018
Laura Schluentz,28:04.9,Muskegon Mona Shores,Portage,2018
Elizabeth Knoll,28:05.5,Muskegon Mona Shores,Portage,2018
Arianne Olson,17:43.0,Holland West Ottawa,Portage,2019
Sarah Forsyth,17:47.5,Ann Arbor Pioneer,Portage,2019
Julia Flynn,17:47.8,Traverse City Central,Portage,2019
Madi Wood,17:48.1,Saline,Portage,2019
Yasmine Mansi,18:23.3,Northville,Portage,2019
Abby Olson,18:24.8,Holland West Ottawa,Portage,2019
Annie Allen,18:27.4,St Joseph Academy,Portage,2019
Avery McLean,18:30.6,Traverse City Central,Portage,2019
Emily Paupore,18:31.1,Negaunee,Portage,2019
Leah Socks,18:34.1,Traverse City Central,Portage,2019
Isabella Johnson,18:35.1,Temperance Bedford,Portage,2019
Lindsey Peters,18:37.3,Caledonia,Portage,2019
Ellie Voetberg,18:39.1,Portage Central,Portage,2019
Ashlyn Nagel,18:41.9,Bay City Western,Portage,2019
Cookie Baugh,18:43.6,Ann Arbor Pioneer,Portage,2019
Katie Carothers,18:44.3,Brighton,Portage,2019
Elsa Rusthoven,18:44.4,DeWitt,Portage,2019
Kaitlyn Hynes,18:44.6,DeWitt,Portage,2019
Emily Gordon,18:51.9,Northville,Portage,2019
Lexi Allen,18:52.7,Culver Academies,Portage,2019
Charlotte Batra,18:56.5,Ann Arbor Pioneer,Portage,2019
Ella Schnell,18:56.8,Kalamazoo Loy Norrix,Portage,2019
Anna Vogel,19:06.2,Ann Arbor Pioneer,Portage,2019
Morgan Crompton,19:07.1,Brighton,Portage,2019
Nicole Dillmann,19:08.2,Saline,Portage,2019
Kiera Snyder,19:08.4,Port Huron Northern,Portage,2019
Allison Cornell,19:09.2,FHN GR_Forest Hills Northern,Portage,2019
Elliott Smith,19:12.7,Traverse City West,Portage,2019
Keira Courtney,19:15.2,Northville,Portage,2019
Amanda Keim,19:15.8,St Joseph Academy,Portage,2019
Laura O'Brien,19:23.2,Ann Arbor Skyline,Portage,2019
Jenna Picard,19:24.8,Bay City Western,Portage,2019
Taylor Visscher,19:26.5,Caledonia,Portage,2019
